correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Phi,0.5,0.5,0,0,CW,22,30,0.7333333333333333
Phi,0.5,0.5,0,0,MOPW,4,30,0.13333333333333333
Phi,0.5,0.5,0,0,OPW,3,30,0.1
Phi,0.5,0.5,0,0,PPW,1,30,0.03333333333333333
Phi,0.5,0.5,0,4,CW,21,30,0.7
Phi,0.5,0.5,0,4,OPW,4,30,0.13333333333333333
Phi,0.5,0.5,0,4,MOPW,4,30,0.13333333333333333
Phi,0.5,0.5,0,4,PPW,1,30,0.03333333333333333
Phi,0.5,0.5,4,0,CW,21,30,0.7
Phi,0.5,0.5,4,0,OPW,4,30,0.13333333333333333
Phi,0.5,0.5,4,0,MOPW,4,30,0.13333333333333333
Phi,0.5,0.5,4,0,PPW,1,30,0.03333333333333333
Phi,0.5,0.5,4,4,CW,18,30,0.6
Phi,0.5,0.5,4,4,OPW,6,30,0.2
Phi,0.5,0.5,4,4,MOPW,5,30,0.16666666666666666
Phi,0.5,0.5,4,4,PPW,1,30,0.03333333333333333
Spearman,0,0,0,0,PPW,24,25,0.96
Spearman,0,0,0,0,no_weight,1,25,0.04
Spearman,0,0,0,4,PPW,23,28,0.8214285714285714
Spearman,0,0,0,4,CW,3,28,0.10714285714285714
Spearman,0,0,0,4,OPW,1,28,0.03571428571428571
Spearman,0,0,0,4,MOPW,1,28,0.03571428571428571
Spearman,0,0,4,0,PPW,24,28,0.8571428571428571
Spearman,0,0,4,0,CW,2,28,0.07142857142857142
Spearman,0,0,4,0,OPW,1,28,0.03571428571428571
Spearman,0,0,4,0,MOPW,1,28,0.03571428571428571
Spearman,0,0,4,4,PPW,23,25,0.92
Spearman,0,0,4,4,no_weight,1,25,0.04
Spearman,0,0,4,4,OPW,1,25,0.04
Spearman,0,0.5,0,0,CW,25,28,0.8928571428571429
Spearman,0,0.5,0,0,PPW,1,28,0.03571428571428571
Spearman,0,0.5,0,0,OPW,1,28,0.03571428571428571
Spearman,0,0.5,0,0,MOPW,1,28,0.03571428571428571
Spearman,0,0.5,0,4,CW,25,28,0.8928571428571429
Spearman,0,0.5,0,4,PPW,1,28,0.03571428571428571
Spearman,0,0.5,0,4,OPW,1,28,0.03571428571428571
Spearman,0,0.5,0,4,MOPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,CW,25,28,0.8928571428571429
Spearman,0,0.5,4,0,PPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,OPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,MOPW,1,28,0.03571428571428571
Spearman,0,0.5,4,4,CW,25,28,0.8928571428571429
Spearman,0,0.5,4,4,PPW,1,28,0.03571428571428571
Spearman,0,0.5,4,4,OPW,1,28,0.03571428571428571
Spearman,0,0.5,4,4,MOPW,1,28,0.03571428571428571
Spearman,0.5,0,0,0,CW,17,28,0.6071428571428571
Spearman,0.5,0,0,0,OPW,6,28,0.21428571428571427
Spearman,0.5,0,0,0,PPW,3,28,0.10714285714285714
Spearman,0.5,0,0,0,MOPW,2,28,0.07142857142857142
Spearman,0.5,0,0,4,PPW,18,26,0.6923076923076923
Spearman,0.5,0,0,4,no_weight,4,26,0.15384615384615385
Spearman,0.5,0,0,4,OPW,3,26,0.11538461538461539
Spearman,0.5,0,0,4,MOPW,1,26,0.038461538461538464
Spearman,0.5,0,4,0,PPW,18,25,0.72
Spearman,0.5,0,4,0,no_weight,6,25,0.24
Spearman,0.5,0,4,0,OPW,1,25,0.04
Spearman,0.5,0,4,4,PPW,19,27,0.7037037037037037
Spearman,0.5,0,4,4,OPW,5,27,0.18518518518518517
Spearman,0.5,0,4,4,MOPW,2,27,0.07407407407407407
Spearman,0.5,0,4,4,no_weight,1,27,0.037037037037037035
Spearman,0.5,0.5,0,0,CW,24,29,0.8275862068965517
Spearman,0.5,0.5,0,0,OPW,2,29,0.06896551724137931
Spearman,0.5,0.5,0,0,MOPW,2,29,0.06896551724137931
Spearman,0.5,0.5,0,0,PPW,1,29,0.034482758620689655
Spearman,0.5,0.5,0,4,CW,22,30,0.7333333333333333
Spearman,0.5,0.5,0,4,OPW,4,30,0.13333333333333333
Spearman,0.5,0.5,0,4,MOPW,3,30,0.1
Spearman,0.5,0.5,0,4,PPW,1,30,0.03333333333333333
Spearman,0.5,0.5,4,0,CW,22,30,0.7333333333333333
Spearman,0.5,0.5,4,0,OPW,4,30,0.13333333333333333
Spearman,0.5,0.5,4,0,MOPW,3,30,0.1
Spearman,0.5,0.5,4,0,PPW,1,30,0.03333333333333333
Spearman,0.5,0.5,4,4,CW,22,30,0.7333333333333333
Spearman,0.5,0.5,4,4,OPW,4,30,0.13333333333333333
Spearman,0.5,0.5,4,4,MOPW,3,30,0.1
Spearman,0.5,0.5,4,4,PPW,1,30,0.03333333333333333
