correlation_measure,rho_xy,rho_uv,eta_x,eta_y,winning_weight,n_wins,total_wins,prop_wins
Phi,0.5,0.5,4,4,OPW,6,25,0.24
Spearman,0,0,0,0,PPW,24,25,0.96
Spearman,0,0,0,0,no_weight,1,25,0.04
Spearman,0,0,0,4,PPW,23,28,0.8214285714285714
Spearman,0,0,0,4,CW,3,28,0.10714285714285714
Spearman,0,0,0,4,OPW,1,28,0.03571428571428571
Spearman,0,0,0,4,MOPW,1,28,0.03571428571428571
Spearman,0,0,4,0,PPW,24,28,0.8571428571428571
Spearman,0,0,4,0,CW,2,28,0.07142857142857142
Spearman,0,0,4,0,OPW,1,28,0.03571428571428571
Spearman,0,0,4,0,MOPW,1,28,0.03571428571428571
Spearman,0,0,4,4,PPW,20,28,0.7142857142857143
Spearman,0,0,4,4,CW,6,28,0.21428571428571427
Spearman,0,0,4,4,OPW,1,28,0.03571428571428571
Spearman,0,0,4,4,MOPW,1,28,0.03571428571428571
Spearman,0,0.5,0,0,CW,23,30,0.7666666666666667
Spearman,0,0.5,0,0,OPW,3,30,0.1
Spearman,0,0.5,0,0,MOPW,3,30,0.1
Spearman,0,0.5,0,0,PPW,1,30,0.03333333333333333
Spearman,0,0.5,0,4,no_weight,18,28,0.6428571428571429
Spearman,0,0.5,0,4,OPW,6,28,0.21428571428571427
Spearman,0,0.5,0,4,MOPW,3,28,0.10714285714285714
Spearman,0,0.5,0,4,PPW,1,28,0.03571428571428571
Spearman,0,0.5,4,0,no_weight,18,27,0.6666666666666666
Spearman,0,0.5,4,0,OPW,5,27,0.18518518518518517
Spearman,0,0.5,4,0,PPW,2,27,0.07407407407407407
Spearman,0,0.5,4,0,MOPW,2,27,0.07407407407407407
Spearman,0,0.5,4,4,no_weight,15,27,0.5555555555555556
Spearman,0,0.5,4,4,OPW,8,27,0.2962962962962963
Spearman,0,0.5,4,4,PPW,2,27,0.07407407407407407
Spearman,0,0.5,4,4,MOPW,2,27,0.07407407407407407
Spearman,0.5,0,0,0,CW,18,28,0.6428571428571429
Spearman,0.5,0,0,0,OPW,5,28,0.17857142857142858
Spearman,0.5,0,0,0,PPW,3,28,0.10714285714285714
Spearman,0.5,0,0,0,MOPW,2,28,0.07142857142857142
Spearman,0.5,0,0,4,no_weight,13,26,0.5
Spearman,0.5,0,0,4,PPW,7,26,0.2692307692307692
Spearman,0.5,0,0,4,OPW,5,26,0.19230769230769232
Spearman,0.5,0,0,4,MOPW,1,26,0.038461538461538464
Spearman,0.5,0,4,0,no_weight,13,25,0.52
Spearman,0.5,0,4,0,PPW,7,25,0.28
Spearman,0.5,0,4,0,OPW,5,25,0.2
Spearman,0.5,0,4,4,PPW,18,28,0.6428571428571429
Spearman,0.5,0,4,4,OPW,7,28,0.25
Spearman,0.5,0,4,4,MOPW,2,28,0.07142857142857142
Spearman,0.5,0,4,4,no_weight,1,28,0.03571428571428571
Spearman,0.5,0.5,0,0,no_weight,19,27,0.7037037037037037
Spearman,0.5,0.5,0,0,OPW,4,27,0.14814814814814814
Spearman,0.5,0.5,0,0,PPW,2,27,0.07407407407407407
Spearman,0.5,0.5,0,0,MOPW,2,27,0.07407407407407407
Spearman,0.5,0.5,0,4,no_weight,14,26,0.5384615384615384
Spearman,0.5,0.5,0,4,PPW,8,26,0.3076923076923077
Spearman,0.5,0.5,0,4,OPW,3,26,0.11538461538461539
Spearman,0.5,0.5,0,4,MOPW,1,26,0.038461538461538464
Spearman,0.5,0.5,4,0,no_weight,15,26,0.5769230769230769
Spearman,0.5,0.5,4,0,PPW,7,26,0.2692307692307692
Spearman,0.5,0.5,4,0,OPW,3,26,0.11538461538461539
Spearman,0.5,0.5,4,0,MOPW,1,26,0.038461538461538464
Spearman,0.5,0.5,4,4,no_weight,15,25,0.6
Spearman,0.5,0.5,4,4,PPW,9,25,0.36
Spearman,0.5,0.5,4,4,OPW,1,25,0.04
