correlation_measure,subgrouping,file_name,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,weight_type,mean_estimate,mean_se,coverage_true,coverage_obs,n_reps,corr_setting,eta_setting,scenario_label,bias_true,abs_bias_true,bias_obs,abs_bias_obs,coverage_true_dist,coverage_obs_dist,Y_subgrouping,X_subgrouping,est_cov
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,0,0,-0.00245721773328369,no_weight,-0.00245721773328369,0.15642135312178787,0.8789,0.8792,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.00245721773328369,0.00245721773328369,0,0,0.07109999999999994,0.07079999999999997,Severity,Severity,"-0.002 (0.879, 0.879)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,0,0,-0.00245721773328369,CW,-0.0024424758816690953,0.15641369237434538,0.8788,0.8796,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.0024424758816690953,0.0024424758816690953,1.4741851614594789e-5,1.4741851614594789e-5,0.07119999999999993,0.07039999999999991,Severity,Severity,"-0.002 (0.879, 0.880)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0011256128814059337,0.07411448557982132,0.9262,0.9272,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.0011256128814059337,0.0011256128814059337,0.0013316048518777564,0.0013316048518777564,0.023799999999999932,0.02279999999999993,Severity,Severity,"-0.001 (0.926, 0.927)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,0,0,-0.00245721773328369,OPW,-0.0012886185848248314,0.10440513357974154,0.8921,0.8914,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.0012886185848248314,0.0012886185848248314,0.0011685991484588587,0.0011685991484588587,0.05789999999999995,0.058599999999999985,Severity,Severity,"-0.001 (0.892, 0.891)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,0,0,-0.00245721773328369,MOPW,-0.001349560535102476,0.10812200455534259,0.8831,0.8844,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=0","rho_xy=0, rho_uv=0; eta_x=0, eta_y=0",-0.001349560535102476,0.001349560535102476,0.001107657198181214,0.001107657198181214,0.06689999999999996,0.06559999999999999,Severity,Severity,"-0.001 (0.883, 0.884)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,4,0,-7.43056826832932e-4,no_weight,-7.43056826832932e-4,0.14602774161810475,0.8678,0.8675,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",-7.43056826832932e-4,7.43056826832932e-4,0,0,0.08219999999999994,0.0824999999999999,Severity,Severity,"-0.001 (0.868, 0.868)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,4,0,-7.43056826832932e-4,CW,-4.254063467946233e-4,0.15263410179641995,0.8762,0.8764,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",-4.254063467946233e-4,4.254063467946233e-4,3.1765048003830863e-4,3.1765048003830863e-4,0.07379999999999998,0.0736,Severity,Severity,"-0.000 (0.876, 0.876)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-2.818060914371931e-4,0.08189784968741352,0.9229,0.9226,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",-2.818060914371931e-4,2.818060914371931e-4,4.6125073539573884e-4,4.6125073539573884e-4,0.027099999999999902,0.02739999999999998,Severity,Severity,"-0.000 (0.923, 0.923)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,4,0,-7.43056826832932e-4,OPW,-4.717088427017703e-4,0.11411692386729576,0.887,0.8865,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",-4.717088427017703e-4,4.717088427017703e-4,2.7134798413116167e-4,2.7134798413116167e-4,0.06299999999999994,0.0635,Severity,Severity,"-0.000 (0.887, 0.886)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,0,4,0,-7.43056826832932e-4,MOPW,-2.494864804241672e-4,0.11905926445280467,0.8749,0.8751,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=0, eta_y=4","rho_xy=0, rho_uv=0; eta_x=0, eta_y=4",-2.494864804241672e-4,2.494864804241672e-4,4.935703464087648e-4,4.935703464087648e-4,0.07509999999999994,0.07489999999999997,Severity,Severity,"-0.000 (0.875, 0.875)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,4,0,0,7.463224918980348e-4,no_weight,7.463224918980348e-4,0.14644738989296638,0.8604,0.8602,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=4, eta_y=0","rho_xy=0, rho_uv=0; eta_x=4, eta_y=0",7.463224918980348e-4,7.463224918980348e-4,0,0,0.0895999999999999,0.08979999999999999,Severity,Severity,"0.001 (0.860, 0.860)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,4,0,0,7.463224918980348e-4,CW,1.4931561307981805e-4,0.1527418996280507,0.8691,0.8696,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=4, eta_y=0","rho_xy=0, rho_uv=0; eta_x=4, eta_y=0",1.4931561307981805e-4,1.4931561307981805e-4,-5.970068788182167e-4,5.970068788182167e-4,0.08089999999999997,0.08039999999999992,Severity,Severity,"0.000 (0.869, 0.870)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,4,0,0,7.463224918980348e-4,PPW,-1.9921049983431566e-4,0.08208378755571949,0.9171,0.9173,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=4, eta_y=0","rho_xy=0, rho_uv=0; eta_x=4, eta_y=0",-1.9921049983431566e-4,1.9921049983431566e-4,-9.455329917323504e-4,9.455329917323504e-4,0.03289999999999993,0.03269999999999995,Severity,Severity,"-0.000 (0.917, 0.917)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,4,0,0,7.463224918980348e-4,OPW,1.7873646685693877e-4,0.11431793011191786,0.8796,0.8802,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=4, eta_y=0","rho_xy=0, rho_uv=0; eta_x=4, eta_y=0",1.7873646685693877e-4,1.7873646685693877e-4,-5.675860250410961e-4,5.675860250410961e-4,0.07039999999999991,0.06979999999999997,Severity,Severity,"0.000 (0.880, 0.880)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,4,0,0,7.463224918980348e-4,MOPW,-2.0966276315535534e-4,0.1193659707165747,0.8672,0.8677,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=4, eta_y=0","rho_xy=0, rho_uv=0; eta_x=4, eta_y=0",-2.0966276315535534e-4,2.0966276315535534e-4,-9.559852550533901e-4,9.559852550533901e-4,0.08279999999999998,0.08229999999999993,Severity,Severity,"-0.000 (0.867, 0.868)"
Pearson,L_Y_sev__K_X_sev,all_pearson_L_Y_sev__K_X_sev_results.rds,20,0,0,4,4,0,0.03646026958428305,no_weight,0.03646026958428305,0.13828493519398138,0.8614,0.8604,10000,"rho_xy=0, rho_uv=0, rho_true=0","eta_x=4, eta_y=4","rho_xy=0, rho_uv=0; eta_x=4, eta_y=4",0.03646026958428305,0.03646026958428305,0,0,0.0885999999999999,0.0895999999999999,Severity,Severity,"0.036 (0.861, 0.860)"
