correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Phi,0,0,0,0,0,-0.002143151145344819,"-0.002 (0.916, 0.916)","-0.002 (0.915, 0.916)","-0.001 (0.930, 0.930)","-0.001 (0.920, 0.921)","-0.001 (0.919, 0.919)"
Phi,0,0,0,0,4,4.87479305226962e-4,"0.000 (0.917, 0.917)","0.000 (0.917, 0.917)","0.000 (0.929, 0.930)","-0.000 (0.918, 0.918)","0.000 (0.914, 0.914)"
Phi,0,0,0,4,0,-6.697126063766628e-4,"-0.001 (0.911, 0.911)","-0.001 (0.910, 0.910)","-0.001 (0.926, 0.926)","-0.000 (0.913, 0.913)","-0.001 (0.911, 0.911)"
Phi,0,0,0,4,4,0.0419497695755974,"0.042 (0.893, 0.918)","0.030 (0.908, 0.915)","0.017 (0.918, 0.908)","0.018 (0.908, 0.907)","0.016 (0.906, 0.901)"
Phi,0,0.5,0.4,0,0,0.25537268511810585,"0.255 (0.760, 0.914)","0.255 (0.760, 0.914)","0.099 (0.014, 0.310)","0.175 (0.273, 0.787)","0.183 (0.322, 0.807)"
Phi,0,0.5,0.4,0,4,0.1874546451860911,"0.187 (0.467, 0.918)","0.240 (0.705, 0.888)","0.103 (0.025, 0.707)","0.178 (0.320, 0.912)","0.188 (0.391, 0.912)"
Phi,0,0.5,0.4,4,0,0.18584857151176185,"0.186 (0.462, 0.915)","0.239 (0.698, 0.884)","0.102 (0.026, 0.709)","0.177 (0.326, 0.911)","0.187 (0.391, 0.910)"
Phi,0,0.5,0.4,4,4,0.18607078613796055,"0.186 (0.383, 0.916)","0.253 (0.734, 0.864)","0.119 (0.053, 0.795)","0.194 (0.418, 0.912)","0.202 (0.475, 0.910)"
Phi,0.5,0,0.1,0,0,0.0655722078030616,"0.066 (0.912, 0.913)","0.066 (0.911, 0.912)","0.084 (0.924, 0.909)","0.041 (0.879, 0.913)","0.047 (0.883, 0.913)"
Phi,0.5,0,0.1,0,4,0.04807481120209842,"0.048 (0.899, 0.915)","0.021 (0.878, 0.912)","0.070 (0.921, 0.903)","0.019 (0.855, 0.912)","0.015 (0.852, 0.908)"
Phi,0.5,0,0.1,4,0,0.04971493801351961,"0.050 (0.905, 0.916)","0.022 (0.882, 0.912)","0.072 (0.925, 0.908)","0.020 (0.860, 0.914)","0.016 (0.851, 0.906)"
Phi,0.5,0,0.1,4,4,0.07613070214945887,"0.076 (0.909, 0.912)","0.007 (0.861, 0.886)","0.075 (0.924, 0.921)","0.015 (0.861, 0.891)","0.002 (0.835, 0.872)"
Phi,0.5,0.5,0.5,0,0,0.32896502905034614,"0.329 (0.688, 0.916)","0.329 (0.688, 0.916)","0.206 (0.011, 0.557)","0.235 (0.139, 0.778)","0.250 (0.222, 0.818)"
Phi,0.5,0.5,0.5,0,4,0.24103886468225041,"0.241 (0.290, 0.913)","0.267 (0.482, 0.897)","0.192 (0.010, 0.881)","0.214 (0.126, 0.911)","0.223 (0.195, 0.909)"
Phi,0.5,0.5,0.5,4,0,0.2431820216347617,"0.243 (0.297, 0.909)","0.269 (0.486, 0.899)","0.194 (0.010, 0.891)","0.216 (0.133, 0.912)","0.225 (0.203, 0.911)"
Phi,0.5,0.5,0.5,4,4,0.2338878824323658,"0.234 (0.200, 0.912)","0.252 (0.429, 0.902)","0.200 (0.018, 0.913)","0.217 (0.163, 0.916)","0.221 (0.216, 0.910)"
