correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_obs,mean_estimate,coverage_obs,coverage_obs_dist,coverage_true
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,4,0,0.4,0.3022048754100082,PPW,0.2761697355998946,0.8945,0.055499999999999994,0.7764
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,4,4,0.4,0.29509744910188507,PPW,0.27782209652539247,0.8983,0.05169999999999997,0.7833
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,no_weight,0.10855073650778706,0.8689,0.08109999999999995,0.8674
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10714532529792341,0.9024,0.047599999999999976,0.9052
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,4,0,0.1,0.09116823302454596,no_weight,0.09116823302454596,0.8695,0.0804999999999999,0.8706
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.12220157876920938,0.8925,0.057499999999999996,0.8905
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,OPW,0.474341344962208,0.8813,0.06869999999999998,0.8818
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,PPW,0.35464607239704327,0.8805,0.0695,0.6741
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,PPW,0.41140363824515536,0.8912,0.05879999999999996,0.8435
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,PPW,0.3982158920151697,0.885,0.06499999999999995,0.8353
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0016185299042021496,0.9001,0.049899999999999944,0.9011
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-4.3521203660073436e-4,0.9009,0.04909999999999992,0.9007
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.005933815126876876,0.8969,0.053099999999999925,0.8963
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.03466728389043474,0.9015,0.04849999999999999,0.8873
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,4,0,0.4,0.3022048754100082,PPW,0.2620574890444624,0.87,0.07999999999999996,0.6979
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,4,4,0.4,0.29509744910188507,PPW,0.27207249286053486,0.8792,0.07079999999999997,0.7099
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13959614789457325,0.8774,0.0726,0.8714
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.09713373150285949,0.8985,0.05149999999999999,0.9016
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10074964479109211,0.8921,0.05789999999999995,0.8953
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.08706605566155445,0.8944,0.05559999999999998,0.8949
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,PPW,0.3571387978610933,0.8738,0.07619999999999993,0.6614
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,PPW,0.37050578089533187,0.884,0.06599999999999995,0.7235
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,PPW,0.36112929962553025,0.8859,0.06409999999999993,0.7046
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,0,0,0,-0.00245721773328369,PPW,-9.13103377093013e-4,0.9189,0.031099999999999905,0.9188
