correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Pearson,0,0,0,0,0,-0.00245721773328369,"-0.002 (0.879, 0.879)","-0.002 (0.879, 0.880)","-0.001 (0.926, 0.927)","-0.001 (0.892, 0.891)","-0.001 (0.883, 0.884)"
Pearson,0,0,0,0,4,-7.43056826832932e-4,"-0.001 (0.868, 0.868)","-0.000 (0.876, 0.876)","-0.000 (0.923, 0.923)","-0.000 (0.887, 0.886)","-0.000 (0.875, 0.875)"
Pearson,0,0,0,4,0,7.463224918980348e-4,"0.001 (0.860, 0.860)","0.000 (0.869, 0.870)","-0.000 (0.917, 0.917)","0.000 (0.880, 0.880)","-0.000 (0.867, 0.868)"
Pearson,0,0,0,4,4,0.03646026958428305,"0.036 (0.861, 0.860)","0.041 (0.869, 0.879)","0.018 (0.911, 0.912)","0.017 (0.879, 0.881)","0.012 (0.867, 0.867)"
Pearson,0,0.5,0.4,0,0,0.3831791367499273,"0.383 (0.881, 0.873)","0.383 (0.882, 0.873)","0.150 (0.074, 0.113)","0.254 (0.614, 0.662)","0.265 (0.638, 0.683)"
Pearson,0,0.5,0.4,0,4,0.3035321317014306,"0.304 (0.826, 0.863)","0.358 (0.882, 0.834)","0.158 (0.140, 0.542)","0.260 (0.676, 0.860)","0.273 (0.709, 0.853)"
Pearson,0,0.5,0.4,4,0,0.3022048754100082,"0.302 (0.827, 0.862)","0.357 (0.878, 0.833)","0.157 (0.143, 0.549)","0.259 (0.676, 0.857)","0.273 (0.705, 0.853)"
Pearson,0,0.5,0.4,4,4,0.29509744910188507,"0.295 (0.777, 0.844)","0.380 (0.875, 0.788)","0.179 (0.268, 0.715)","0.279 (0.750, 0.880)","0.288 (0.756, 0.867)"
Pearson,0.5,0,0.1,0,0,0.10855073650778706,"0.109 (0.867, 0.869)","0.109 (0.867, 0.869)","0.143 (0.886, 0.896)","0.095 (0.884, 0.884)","0.099 (0.870, 0.871)"
Pearson,0.5,0,0.1,0,4,0.08938054766039766,"0.089 (0.875, 0.875)","0.048 (0.870, 0.875)","0.121 (0.911, 0.903)","0.059 (0.876, 0.884)","0.052 (0.863, 0.867)"
Pearson,0.5,0,0.1,4,0,0.09116823302454596,"0.091 (0.871, 0.870)","0.050 (0.866, 0.869)","0.123 (0.908, 0.902)","0.060 (0.875, 0.878)","0.053 (0.857, 0.862)"
Pearson,0.5,0,0.1,4,4,0.10659491350720593,"0.107 (0.861, 0.860)","0.031 (0.854, 0.849)","0.120 (0.909, 0.911)","0.041 (0.863, 0.858)","0.019 (0.834, 0.830)"
Pearson,0.5,0.5,0.5,0,0,0.4933990071000003,"0.493 (0.874, 0.870)","0.493 (0.873, 0.870)","0.321 (0.329, 0.364)","0.372 (0.674, 0.694)","0.389 (0.710, 0.729)"
Pearson,0.5,0.5,0.5,0,4,0.39812201440272504,"0.398 (0.830, 0.856)","0.415 (0.868, 0.863)","0.301 (0.312, 0.782)","0.339 (0.640, 0.861)","0.350 (0.674, 0.857)"
Pearson,0.5,0.5,0.5,4,0,0.40144653552974946,"0.401 (0.835, 0.860)","0.418 (0.870, 0.857)","0.303 (0.320, 0.780)","0.341 (0.646, 0.861)","0.352 (0.681, 0.856)"
Pearson,0.5,0.5,0.5,4,4,0.38942295188380144,"0.389 (0.798, 0.846)","0.409 (0.861, 0.857)","0.311 (0.418, 0.847)","0.341 (0.686, 0.875)","0.344 (0.695, 0.863)"
