correlation_measure,rho_xy,rho_uv,rho_true,eta_x,eta_y,rho_obs_hat,no_weight,CW,PPW,OPW,MOPW
Phi,0.5,0.5,0.5,4,4,0.2339,"0.234 (0.200, 0.912)","0.252 (0.429, 0.902)","0.200 (0.018, 0.913)","0.217 (0.163, 0.916)","0.221 (0.216, 0.910)"
Spearman,0,0,0,0,0,-0.0024,"-0.002 (0.904, 0.905)","-0.002 (0.904, 0.904)","-0.001 (0.932, 0.930)","-0.001 (0.915, 0.915)","-0.001 (0.910, 0.910)"
Spearman,0,0,0,0,4,-0.0002,"-0.000 (0.896, 0.895)","-0.000 (0.904, 0.904)","-0.000 (0.926, 0.927)","-0.000 (0.909, 0.909)","0.000 (0.904, 0.904)"
Spearman,0,0,0,4,0,0,"-0.000 (0.887, 0.887)","-0.001 (0.893, 0.893)","-0.000 (0.922, 0.922)","0.000 (0.902, 0.902)","-0.000 (0.895, 0.895)"
Spearman,0,0,0,4,4,0.0403,"0.040 (0.888, 0.895)","0.042 (0.887, 0.900)","0.017 (0.913, 0.913)","0.017 (0.896, 0.895)","0.013 (0.888, 0.884)"
Spearman,0,0.5,0.4,0,0,0.3439,"0.344 (0.906, 0.895)","0.344 (0.907, 0.896)","0.108 (0.009, 0.049)","0.193 (0.355, 0.563)","0.203 (0.425, 0.613)"
Spearman,0,0.5,0.4,0,4,0.2677,"0.268 (0.809, 0.893)","0.324 (0.891, 0.857)","0.118 (0.032, 0.414)","0.208 (0.488, 0.851)","0.221 (0.557, 0.857)"
Spearman,0,0.5,0.4,4,0,0.2656,"0.266 (0.809, 0.893)","0.323 (0.886, 0.857)","0.117 (0.030, 0.420)","0.207 (0.487, 0.848)","0.220 (0.558, 0.855)"
Spearman,0,0.5,0.4,4,4,0.2579,"0.258 (0.770, 0.888)","0.346 (0.898, 0.809)","0.140 (0.088, 0.624)","0.231 (0.604, 0.889)","0.240 (0.643, 0.882)"
Spearman,0.5,0,0.1,0,0,0.0959,"0.096 (0.896, 0.896)","0.096 (0.897, 0.896)","0.117 (0.914, 0.910)","0.069 (0.902, 0.904)","0.071 (0.896, 0.897)"
Spearman,0.5,0,0.1,0,4,0.0765,"0.076 (0.897, 0.900)","0.038 (0.889, 0.897)","0.099 (0.924, 0.908)","0.039 (0.884, 0.900)","0.030 (0.869, 0.887)"
Spearman,0.5,0,0.1,4,0,0.0784,"0.078 (0.899, 0.898)","0.039 (0.887, 0.893)","0.101 (0.923, 0.906)","0.040 (0.882, 0.903)","0.031 (0.871, 0.889)"
Spearman,0.5,0,0.1,4,4,0.0986,"0.099 (0.893, 0.894)","0.023 (0.873, 0.874)","0.101 (0.921, 0.921)","0.027 (0.873, 0.874)","0.004 (0.842, 0.844)"
Spearman,0.5,0.5,0.5,0,0,0.445,"0.445 (0.905, 0.890)","0.445 (0.906, 0.890)","0.248 (0.025, 0.140)","0.284 (0.308, 0.526)","0.298 (0.404, 0.593)"
Spearman,0.5,0.5,0.5,0,4,0.35,"0.350 (0.785, 0.890)","0.370 (0.840, 0.879)","0.237 (0.033, 0.655)","0.267 (0.328, 0.832)","0.274 (0.410, 0.837)"
Spearman,0.5,0.5,0.5,4,0,0.3529,"0.353 (0.796, 0.887)","0.373 (0.841, 0.878)","0.239 (0.036, 0.651)","0.268 (0.334, 0.830)","0.276 (0.409, 0.835)"
Spearman,0.5,0.5,0.5,4,4,0.3366,"0.337 (0.747, 0.890)","0.359 (0.832, 0.876)","0.247 (0.069, 0.785)","0.272 (0.398, 0.872)","0.272 (0.438, 0.863)"
