correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_true,mean_estimate,coverage_true,coverage_true_dist,coverage_obs
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,no_weight,0.10855073650778706,0.8674,0.0826,0.8689
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,CW,0.10853302457191386,0.8674,0.0826,0.8687
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.10714532529792341,0.9052,0.04479999999999995,0.9024
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.14857063771812928,0.8717,0.07829999999999993,0.8665
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.12220157876920938,0.8905,0.0595,0.8925
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,OPW,0.474341344962208,0.8818,0.06819999999999993,0.8813
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,OPW,0.4458915286396002,0.884,0.06599999999999995,0.8335
Pearson,L_Y_dich_1_5__K_X_dich_3_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,OPW,0.4223702926008442,0.8636,0.08639999999999992,0.8492
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.0016185299042021496,0.9011,0.048899999999999944,0.9001
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-4.3521203660073436e-4,0.9007,0.04930000000000001,0.9009
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.005933815126876876,0.8963,0.05369999999999997,0.8969
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.03466728389043474,0.8873,0.06269999999999998,0.9015
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13959614789457325,0.8714,0.0786,0.8774
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.09713373150285949,0.9016,0.0484,0.8985
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10074964479109211,0.8953,0.05469999999999997,0.8921
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.08706605566155445,0.8949,0.05509999999999993,0.8944
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_1_5__K_X_dich_4_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,0,0,0,-0.00245721773328369,PPW,-9.13103377093013e-4,0.9188,0.031200000000000006,0.9189
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-3.162813727920812e-5,0.9225,0.02749999999999997,0.9223
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,4,0,0,7.463224918980348e-4,PPW,0.009600500109767039,0.9079,0.042099999999999915,0.9078
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0,4,4,0,0.03646026958428305,PPW,0.02930980042460311,0.8975,0.05249999999999999,0.9149
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_1_5__K_X_sev,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,0,0,0.1,0.10855073650778706,OPW,0.11974840399959227,0.8693,0.0807,0.8733
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.1268582770289584,0.8985,0.05149999999999999,0.8846
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,4,0,0.1,0.09116823302454596,OPW,0.09832453819137865,0.8783,0.07169999999999999,0.8753
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.1364451561120445,0.8851,0.06489999999999996,0.8928
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_1_5__K_X_sev,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,0,0,0,-0.00245721773328369,PPW,0.0026495986877391547,0.9225,0.02749999999999997,0.9228
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,0.010150136825835359,0.9181,0.03189999999999993,0.9172
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.002509045856408163,0.9142,0.03579999999999994,0.9141
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0,4,4,0,0.03646026958428305,PPW,0.021896612249252153,0.9143,0.035699999999999954,0.9166
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8823,0.06769999999999998,0.8734
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,0,4,0.4,0.3035321317014306,CW,0.35763018659521145,0.882,0.06799999999999995,0.8343
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,4,0,0.4,0.3022048754100082,CW,0.35715175382703734,0.8777,0.07229999999999992,0.8325
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0,0.5,4,4,0.4,0.29509744910188507,CW,0.38044395824699406,0.8751,0.07489999999999997,0.7884
